,page,line,text,CODE,Matched_Description
0,9,2,expense related immunomodulators,4012F,Warfarin therapy prescribed (NMA-No Measure Associated)
1,9,3,expense treatment sleep disorder,3725F,Screening for depression performed (DEM)
2,9,4,service educational program handicap,4500F,Referred to an outpatient cardiac rehabilitation program (CAD)
3,9,5,,84143,17-hydroxypregnenolone
4,9,6,injury illness insured person result military operation type,95170,Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy; whole body extract of biting insect or other arthropod (specify number of doses)
5,9,7,injury illness insured person result war terror type,6045F,"Radiation exposure or exposure time in final report for procedure using fluoroscopy, documented (RAD)"
6,9,8,healthcare service accident arising nuclear chemical contamination,55860,"Exposure of prostate, any approach, for insertion of radioactive substance"
7,9,9,injury resulting natural disaster including limited earthquake type natural disaster,77778,"Interstitial radiation source application, complex, includes supervision, handling, loading of radiation source, when performed"
8,9,10,injury resulting criminal act resisting authority person,36405,"Venipuncture, younger than age 3 years, necessitating the skill of a physician or other qualified health care professional, not to be used for routine venipuncture; scalp vein"
9,9,11,injury resulting road traffic accident,48545,Pancreatorrhaphy for injury
10,9,12,healthcare service work related illness injury federal law,77399,"Unlisted procedure, medical radiation physics, dosimetry and treatment devices, and special services"
11,9,13,concerning regulation work relation amendment applicable law,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)"
12,9,14,case resulting use alcoholic drink substance drug hallucinating substance,3016F,Patient screened for unhealthy alcohol use using a systematic screening method (PV) (DSP)
13,9,15,investigation treatment doctor,97150,"Therapeutic procedure(s), group (2 or more individuals)"
14,9,16,injury resulting attempted suicide injury,48545,Pancreatorrhaphy for injury
15,9,17,diagnosis treatment service complication illness,97150,"Therapeutic procedure(s), group (2 or more individuals)"
16,9,18,healthcare service internationally locally epidemic,92325,"Modification of contact lens (separate procedure), with medical supervision of adaptation"
17,9,19,healthcare service patient suffering related diagnosis treatment hiv aid complication type virus hepatitis,96904,"Whole body integumentary photography, for monitoring of high risk patients with dysplastic nevus syndrome or a history of dysplastic nevi, or patients with a personal or familial history of melanoma"
