,page,line,text,CODE,Text
0,9,2,Any expenses related to immunomodulators and immunotherapy,32940,"Pneumonolysis, extraperiosteal, including filling or packing procedures"
1,9,3, Any expenses related to the treatment of sleep related disorders,94774,"Pediatric home apnea monitoring event recording including respiratory rate, pattern and heart rate per 30-day period of time; includes monitor attachment, download of data, review, interpretation, and preparation of a report by a physician or other qualified health care professional"
2,9,4, Services and educational programs for handicaps,4305F,Patient education regarding appropriate foot care and daily inspection of the feet received (CWC)
3,9,5,A,84630,Zinc
4,9,6, Injuries or illnesses suffered by the Insured Person as a result of military operations of whatever type,59855,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines"
5,9,7, Injuries or illnesses suffered by the Insured Person as a result of wars or acts of terror of whatever type,59855,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines"
6,9,8, Healthcare services for injuries and accidents arising from nuclear or chemical contamination,55860,"Exposure of prostate, any approach, for insertion of radioactive substance"
7,9,9," Injuries resulting from natural disasters, including but not limited to: earthquakes, tornados and any other type of natural disaster",52318,Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments; complicated or large (over 2.5 cm)
8,9,10, Injuries resulting from criminal acts or resisting authority by the Insured Person,55860,"Exposure of prostate, any approach, for insertion of radioactive substance"
9,9,11, Injuries resulting from a road traffic accident,61708,"Surgery of aneurysm, vascular malformation or carotid-cavernous fistula; by intracranial electrothrombosis"
10,9,12, Healthcare services for work related illnesses and injuries as per Federal Law No,99100,"Anesthesia for patient of extreme age, younger than 1 year and older than 70 (List separately in addition to code for primary anesthesia procedure)"
11,9,13," 8 of 1980 concerning the Regulation of Work Relations, its amendments, and applicable laws in this respect",99467,"Critical care face-to-face services, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or younger; each additional 30 minutes (List separately in addition to code for primary service)"
12,9,14," All cases resulting from the use of alcoholic drinks, controlled substances and = drugs and __ hallucinating substances",64727,"Internal neurolysis, requiring use of operating microscope (List separately in addition to code for neuroplasty) (Neuroplasty includes external neurolysis)"
13,9,15, Any investigation or treatment not prescribed by a doctor,2044F,Documentation of mental health assessment prior to intervention (back surgery or epidural steroid injection) or for back pain episode lasting longer than 6 weeks (BkP)
14,9,16, Injuries resulting from attempted suicide or self-inflicted injuries,25028,"Incision and drainage, forearm and/or wrist; deep abscess or hematoma"
15,9,17,", Diagnosis and treatment services for complications of exempted illnesses",0015U,"Drug metabolism (adverse drug reactions), DNA, 22 drug metabolism and transporter genes, real-time PCR, blood or buccal swab, genotype and metabolizer status for therapeutic decision support"
16,9,18, All healthcare services for internationally and/or locally recognized epidemics,90956,"End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physician or other qualified health care professional per month"
17,9,19, Healthcare services for patients suffering from (and related to the diagnosis and treatment of) HIV - AIDS and its complications and all types of hepatitis except virus A hepatitis,90696,"Diphtheria, tetanus toxoids, acellular pertussis vaccine and inactivated poliovirus vaccine (DTaP-IPV), when administered to children 4 through 6 years of age, for intramuscular use"
0,8,2, Elective diagnostic services and medical treatment for correction of vision,0342T,Therapeutic apheresis with selective HDL delipidation and plasma reinfusion
1,8,3, Nasal septum deviation and nasal concha resection,31587,"Laryngoplasty, cricoid split, without graft placement"
2,8,4," All chronic conditions requiring hemodialysis or peritoneal dialysis, and related investigations, treatments — or procedures",13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated"
3,8,5," Healthcare services, investigations and treatments related to viral hepatitis and associated complications, except for the treatment and services related to Hepatitis A",99477,"Initial hospital care, per day, for the evaluation and management of the neonate, 28 days of age or younger, who requires intensive observation, frequent interventions, and other intensive care services"
4,8,6," Any services related to birth defects, congenital diseases and deformities",94774,"Pediatric home apnea monitoring event recording including respiratory rate, pattern and heart rate per 30-day period of time; includes monitor attachment, download of data, review, interpretation, and preparation of a report by a physician or other qualified health care professional"
5,8,7, Healthcare services for senile dementia and Alzheimer’s disease,3066F,"Documentation of treatment for nephropathy (eg, patient receiving dialysis, patient being treated for ESRD, CRF, ARF, or renal insufficiency, any visit to a nephrologist) (DM)"
6,8,8, Air or terrestrial medical evacuation and unauthorized transportation services,77399,"Unlisted procedure, medical radiation physics, dosimetry and treatment devices, and special services"
7,8,9, Inpatient treatment received without prior approval from the insurance company including cases of medical emergency which were not notified within 24 hours from the date of admission,99024,"Postoperative follow-up visit, normally included in the surgical package, to indicate that an evaluation and management service was performed during a postoperative period for a reason(s) related to the original procedure"
8,8,10," Any inpatient treatment, investigations or other procedures, which can be carried out on outpatient basis without jeopardizing the Insured Person’s health",90952,"End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a physician or other qualified health care professional per month"
9,8,11," Any investigations or health services conducted for non- medical purposes such as investigations related to employment, travel, licensing or insurance purposes",90889,"Preparation of report of patient's psychiatric status, history, treatment, or progress (other than for legal or consultative purposes) for other individuals, agencies, or insurance carriers"
10,8,12," All supplies which are not considered as medical treatments including but not limited to: mouthwash, toothpaste, lozenges, antiseptics, milk formulas, food supplements, skin care products, shampoos and multivitamins (unless prescribed as replacement therapy for known vitamin deficiency conditions); and all equipment not primarily intended to improve a medical condition or injury, including but not limited to: air conditioners or air purifying systems, arch supports, exercise equipment and sanitary supplies",90951,"End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physician or other qualified health care professional per month"
11,8,13,More than one consultation or follow up with a medical specialist in a single day unless referred by the treating physician,80502,"Clinical pathology consultation; comprehensive, for a complex diagnostic problem, with review of patient's history and medical records"
